nctdel fail male black hisp sn1 sn2 sn3 all4
0.8 0 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0
0 0 0 1 0 0 0 0 0
1.6666666667 1 0 0 0 1 0 0 0
0 0 0 0 0 1 0 0 0
2.1666666667 1 0 0 0 0 0 0 0
1.25 1 0 0 0 0 0 0 0
1.65 1 0 0 0 0 0 1 0
0 0 0 0 0 1 0 0 0
2.05 1 0 1 0 0 0 0 0
0.3166666667 1 1 0 0 1 0 0 0
0.1666666667 0 0 0 0 1 0 0 0
1.2 0 1 0 0 0 1 0 0
0.0666666667 0 0 1 0 1 0 0 0
1.25 0 1 1 0 0 1 0 0
0.6666666667 1 1 0 0 1 0 0 0
1.1833333333 1 0 0 0 0 0 0 1
0.25 0 1 0 0 1 0 0 0
1.7166666667 1 0 0 0 1 0 0 0
0.75 1 1 0 0 1 0 0 0
1.2833333333 1 0 0 0 0 1 0 0
0.05 0 0 0 0 1 0 0 0
1.8333333333 1 0 0 0 0 0 0 0
0.25 0 0 1 0 0 0 0 0
1.4166666667 1 0 0 0 0 0 1 0
0.7333333333 1 0 0 0 0 0 0 0
1.5833333333 1 1 0 0 1 0 0 0
1.85 1 0 0 0 0 0 0 0
0 0 1 0 0 0 0 0 0
0.25 0 0 0 0 0 0 0 0
1.1666666667 1 1 0 0 0 0 0 0
0 0 0 1 0 0 1 0 0
0.6333333333 1 0 0 0 1 0 0 0
0.6333333333 1 0 1 0 1 0 0 0

